[2019-11-11 08:23:49,902] [INFO] : RootScreen: App has started
[2019-11-11 08:24:32,631] [DEBUG] : LanguageScreen: mk language is used
[2019-11-11 08:24:36,453] [DEBUG] : Homeboard:  No-user
[2019-11-11 08:24:36,454] [DEBUG] : Homeboard: labels are configured.
[2019-11-11 08:24:38,954] [DEBUG] : NewPuzzleScreen: labels are configured
[2019-11-11 08:24:53,142] [DEBUG] : NewPuzzleScreen: DIRECTORY_CALLED is changed to FullPuzzle
[2019-11-11 08:24:53,144] [DEBUG] : ChooseFileScreen: labels are configured.
[2019-11-11 08:25:05,490] [INFO] : ChooseFileScreen: file C:\Users\Filip.Dimovski\Desktop\Viber-Bild_2019-11-09_08-33-25.jpg is copied
[2019-11-11 08:25:05,502] [DEBUG] : NewPuzzleScreen: labels are configured
[2019-11-11 08:25:14,835] [DEBUG] : NewPuzzleScreen: DIRECTORY_CALLED is changed to PiecesPuzzle
[2019-11-11 08:25:14,836] [DEBUG] : ChooseFileScreen: labels are configured.
[2019-11-11 08:25:16,864] [INFO] : ChooseFileScreen: file C:\Users\Filip.Dimovski\Desktop\Viber-Bild_2019-11-09_08-33-22.jpg is copied
[2019-11-11 08:25:16,865] [DEBUG] : NewPuzzleScreen: labels are configured
[2019-11-11 08:25:19,028] [DEBUG] : PuzzleConnection: check_user_puzzle_rel:False
[2019-11-11 08:25:19,028] [INFO] : NewPuzzleScreen: Folder users/0/test_20191111_082519 is created.
[2019-11-11 08:25:19,032] [INFO] : NewPuzzleScreen: file users/0/test_20191111_082519/FullPuzzle.png is moved
[2019-11-11 08:25:19,035] [INFO] : NewPuzzleScreen: file users/0/test_20191111_082519/PiecesPuzzle.png is moved
[2019-11-11 08:25:19,130] [DEBUG] : PuzzleSolution: progressbar pop is open
[2019-11-11 08:25:19,131] [DEBUG] : PuzzleSolution: initialize
[2019-11-11 08:25:19,131] [DEBUG] : PuzzleSolution: solve_puzzle is called.
[2019-11-11 08:25:19,132] [DEBUG] : PuzzleSolution: solve_puzzle_algorithm is called.
